,Unnamed: 0.1,Unnamed: 0,symbol,name,curr_market_price,pe_ratio,book_value,divident,roce,roe,face_value,market_cap,about
956,956,956,MRPL,Mangalore Refinery And Petrochemicals Ltd,182.0,12.0,75.8,1.65,25.8,31.9,10.0,31809.0,"Mangalore Refinery & Petrochemicals Limited (MRPL) was set up as a joint venture (JV) between the AV Birla Group and Hindustan Petroleum Corporation Limited (HPCL). It is now a subsidiary of Oil & Natural Gas Corporation(ONGC). The company is mainly engaged in the business of refining crude oil, petrochemical business, trading of aviation fuels and distribution of petroleum products through retail outlets and transport terminals. "
957,957,957,MSPL,MSP Steel & Power Ltd,55.8,117.0,14.3,0.0,7.92,2.63,10.0,2687.0,"Incorporated in 1968, MSP Steel & Power "
958,958,958,MSTCLTD,MSTC Ltd,721.0,23.5,126.0,2.15,34.6,24.4,10.0,5074.0,"MSTC (Metal Scrap Trade Corporation) Ltd undertakes trading activities, e-commerce and also disposal of ferrous and non-ferrous scrap, surplus stores, minerals, agri and forest products, etc."
959,959,959,MTEDUCARE,MT Educare Limited,,,,,,,,,
960,960,960,MTNL,Mahanagar Telephone Nigam Ltd,55.0,,-375.0,0.0,-8.18,,10.0,3462.0,Mahanagar Telephone Nigam is engaged in providing telecom services.(Source : 201903 Annual Report Page No:120)
961,961,961,MUKANDENGG,Mukand Engineers Ltd(Merged),,,,,,,,,"Mukand Engineers Ltd is involved in offering engineering, procurement, construction, and allied services in the areas of capital-intensive projects across industries such as energy, oil, gas, power, metallurgical and heavy industry sectors. The target sectors of business of the co. are the power and metallurgical sectors. The co. also undertakes Engineering and Project Management jobs for Steel Plants and Electrical works at Power Plants. Rajesh V. Shah is the Chairman of the co. "
962,962,962,MUKANDLTD,Mukand Ltd,172.0,25.9,63.8,1.16,10.8,11.5,10.0,2489.0,"Mukand Ltd is engaged in manufacturing of special alloy steel, billets, bars, rods, EOT cranes, material handling equipment and other industrial machinery and comprehensive engineering services."
963,963,963,MUKTAARTS,Mukta Arts Ltd,78.6,,-12.3,0.0,9.07,,5.0,175.0,"Incorporated in 1982, Mukta Arts Ltd is in "
964,964,964,MUNJALAU,Munjal Auto Industries Limited,,,,,,,,,
965,965,965,MUNJALSHOW,Munjal Showa Ltd,,,,,,,,,"Incorporated in 1985, Munjal Showa"
966,966,966,MURUDCERA,Murudeshwar Ceramics Ltd,58.4,57.9,60.4,0.86,4.8,1.46,10.0,354.0,"Incorporated in 1983, Murudeshwar "
967,967,967,MUTHOOTCAP,Muthoot Capital Services Ltd,,,,,,,,,"The company is deposit-taking NBFC & part of Muthoot Group. The group has established a strong reputation and brand in India, particularly in South India. The promoters have more than 30 years of experience in the lending business. "
968,968,968,MUTHOOTFIN,Muthoot Finance Limited,,,,,,,,,
969,969,969,MVL,MVL Ltd,0.2,,2.68,0.0,-5.78,-14.1,1.0,12.0,"MVL is engaged in the business of real estate builders and developers. The Company operates in residential, commercial, township and retail sectors. "
970,970,970,NACLIND,NACL Industries Ltd,55.6,,25.7,1.26,-0.04,-10.8,1.0,1109.0,"NACL is an established player and they deal in both technicals and formulations and they cater to the Indian market and to the international market as well. They have over 50 products covering all major crops. They have a strong logistic presence and the products are sold in more than 55,000 counters.  NACL has become one of the reliable contract manufacturers for major MNCs. NACL exports products to over 30 countries and has forayed into International Brand business by registering brands in South-East Asia and Africa and are in the process of expanding reach in these regions. "
971,971,971,NAGAFERT,Nagarjuna Fertilizers & Chemicals Ltd,11.2,0.34,-50.2,0.0,-106.0,,1.0,670.0,"Incorporated in 2006, Nagarjuna Fertilizers "
972,972,972,NAGAROIL,Nagarjuna Oil Refinery Ltd,0.2,,7.96,0.0,,,1.0,8.56,"Nagarjuna Oil Refinery Limited is an India-based company, which is engaged in promoting, conceiving, planning, co-ordinating, executing and monitoring setting up of business relating to extraction of oil. "
973,973,973,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,,,,,,,,,
974,974,974,NAGREEKEXP,Nagreeka Exports Ltd,41.7,18.3,,0.0,,,5.0,130.0,"Incorporated in 1989, Nagreeka Exports Ltd is engaged in the manufacturing, trading and export of cotton yarn and other various merchandise."
975,975,975,NAHARCAP,Nahar Capital & Financial Services Ltd,314.0,20.6,921.0,0.48,0.98,0.77,5.0,528.0,"Incorporated in 2006, Nahar Capital & Financial Services Ltd is in the business of investments and real estate"
976,976,976,NAHARINDUS,Nahar Industrial Enterprises Ltd,149.0,35.5,225.0,0.0,2.72,0.76,10.0,647.0,"Incorporated in 1983, Nahar Industrial Enterprises Ltd is in the business of "
977,977,977,NAHARPOLY,Nahar Poly Films Limited,,,,,,,,,
978,978,978,NAHARSPING,Nahar Spinning Mills Ltd,,,,,,,,,"Incorporated in 1980, Nahar Spinning Mills Ltd manufactures cotton yarn/blended yarn and hosiery knitwear"
979,979,979,NATCOPHARM,Natco Pharma Limited,,,,,,,,,
